Operacion,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
add,1.8636,5.0014,3.027,7.1171,4.142,15.7533,2.9792,2.0017,3.2914,1.7049
search,2.0651,2.0007,1.9994,0.9991,1,2.0375,0.9675,2.0212,2.9766,1.9839
