Operacion,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
add,1.9987,4.001,1.9999,1,1.9995,19.0002,1.9998,2.0017,2.9987,2.0001
search,1.9915,1.9999,1.0003,2.0003,0.9996,2,3.9994,1.9999,1.9999,1.0005
