Operacion,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
add,0.9752,3.1335,1.1604,3.8302,0.9977,0.9993,1.0012,1.0001,0.9998,1.0002
search,1.0005,0.3408,0.6586,0.9998,1.1335,0,0.8672,2.0113,1.0737,0
