Operacion,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
add,1.8632,0.9998,0.9982,0.9997,2.0008,0.9996,3.0056,0.9942,3.4632,1.6127
search,0.9252,0.9991,1.0015,0,0.9986,0.9978,0,0.9996,0,1
