Operacion,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
add,3.0373,1.9987,0.9633,2.0734,1.2887,0.9647,2.0357,3.3889,1.9968,2.2975
search,1.0415,0.9179,1.0377,0.6438,1.0437,0.6161,0,2.0004,3,1.0512
