Operacion,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
add,3.2138,2.9208,2.7711,3.0016,2.5275,11.0108,3.4759,3.22,4.1543,2.8393
search,2.9928,3.5803,2.8957,3.9556,3.2281,2.0003,4.1501,3.2456,3.9994,3.5715
