Operacion,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
add,1.4238,0.999,1.0001,1.0001,2.0128,2.073,1.4447,0.4702,0.9998,2.0004
search,0,0.9976,0,1.0001,0.999,0,0.9996,0,1.2122,0
