Operacion,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
add,2.998,2.0032,1.9929,2.0748,3.9287,22.0325,1.9863,1.9795,1.9996,1.2083
search,4.9418,2.0794,2.0232,51.9868,2.0188,13.9913,1.9888,5.0703,1.9303,2.0005
